StartDate,EndDate,Status,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseId,Q5.3_7_TEXT,Q5.4,Q5.5,Q5.6,Q5.7,Q5.8,Q5.9,Q5.10,Q5.10_89_TEXT,Q5.11,Q5.19,Q5.20,Q5.21,Q5.22,Q5.23,Q6.1,Q6.1_10_TEXT,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7,Q6.10,Q6.11,Q6.12,Q6.13,Q6.14,Q16.1,Q16.2,Q16.3,Q16.4,pk_correct_states,pk_correct_judges,pk_correct_term,pk_correct_econ,pk_correct_vp,pk_correct_opposition,pk_correct_bolsonaro,manipulation_check,pk_correct_states2,pk_correct_judges2,pk_correct_term2,pk_correct_econ2,pk_correct_vp2,pk_correct_opposition2,pk_correct_bolsonaro2,ksr_correct_welfare,ksr_correct_edu,ksr_correct_salary,ksr_correct_pubedu,ksr_correct_pubedu_alt,ksr_correct_bolsa,ksr_correct_welfare2,ksr_correct_edu2,ksr_correct_salary2,ksr_correct_pubedu2,ksr_correct_pubedu2_alt,ksr_correct_bolsa2,pk1,pk2,pk3,pk4,pk5,pk6,pk7,ksr1,ksr2,ksr3,ksr4,ksr5,ksr4_alt,pk_ind,ksr_ind,ksr_ind_alt,ksr_what,pk_ind_scaled,ksr_ind_scaled,ksr_ind_alt_scaled,ksr_what_scaled,edu,female,ses,ses_alt,edu_3cat,gender_cat,region_cat
11/21/19 13:23,11/21/19 13:53,0,191.7.215.162,100,1771,1,11/21/19 13:53,R_1l9KcKMTAsa0UgS,27,19,12,9,14,16,13,89,K,50,6,18,15,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444,1,1123,14,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,0,1,1,1,0,1,0,4,4,4,3,0.5714285714285714,0.8,0.8,1,5,0,9,0,College or More,male,Nordeste
11/21/19 13:39,11/21/19 13:53,0,179.180.99.75,100,857,1,11/21/19 13:53,R_Uu46WxRSeEVpGed,519,17,12,9,14,16,11,89,K,52,6,18,15,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451,5,1127,15,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1,1,1,1,0,1,1,4,4,5,3,0.5714285714285714,0.8,1,1,7,1,16,4,College or More,female,Sudeste
11/21/19 13:36,11/21/19 13:53,0,201.21.36.74,100,1018,1,11/21/19 13:53,R_1qh8l73Dk7HnUss,23,19,12,12,13,16,14,89,K,53,6,18,15,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,2,1121,15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,1,1,1,1,1,2,5,5,3,0.2857142857142857,1,1,1,4,1,4,1,High School,female,Sul
11/21/19 13:36,11/21/19 13:54,0,177.5.183.239,100,1091,1,11/21/19 13:54,R_2uD2LvVvVVfISpt,23,18,12,9,14,15,11,89,K,52,6,18,15,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,2,1121,14,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1,1,1,1,1,1,1,4,5,5,3,0.5714285714285714,1,1,1,4,0,12,1,High School,male,Sudeste
11/21/19 13:41,11/21/19 13:58,0,186.209.104.170,100,1005,1,11/21/19 13:58,R_1P4W5do8liSTmXP,26,18,12,9,14,14,11,89,K,50,6,19,15,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,1,1121,15,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,0,1,0,1,1,6,3,4,2,0.8571428571428571,0.6,0.8,0.6666666666666666,4,1,1,0,High School,female,Nordeste
11/21/19 13:45,11/21/19 13:59,0,201.148.177.35,100,804,1,11/21/19 13:59,R_bI4dOpaTqMcjhAZ,27,18,12,9,14,14,11,88,NA,50,6,18,15,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,2,1126,15,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,0,1,0,5,4,4,3,0.7142857142857143,0.8,0.8,1,7,1,4,1,College or More,female,Nordeste
11/21/19 13:43,11/21/19 13:59,0,45.175.58.231,100,963,1,11/21/19 13:59,R_1GKv9paxtQcL1RY,36,20,12,9,14,14,11,89,K,50,6,19,15,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,3,1118,15,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,0,1,0,1,1,5,3,4,2,0.7142857142857143,0.6,0.8,0.6666666666666666,2,1,6,2,Less than High School,female,Nordeste
11/21/19 13:34,11/21/19 14:02,0,45.5.178.3,100,1664,1,11/21/19 14:02,R_1Q4z6nppTQg4MiZ,411,17,12,9,14,17,11,87,NA,49,6,19,15,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,1,1116,14,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1,1,0,1,0,1,1,4,3,4,2,0.5714285714285714,0.6,0.8,0.6666666666666666,1,0,0,0,Less than High School,male,Norte
11/21/19 13:28,11/21/19 14:02,0,189.6.241.80,100,2007,1,11/21/19 14:02,R_BF04zx4iuGBYxd7,23,19,12,9,14,17,11,88,NA,53,6,16,16,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,4,1121,15,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,1,1,0,0,0,0,1,5,1,2,1,0.7142857142857143,0.2,0.4,0.3333333333333333,4,1,15,3,High School,female,Sul
11/21/19 13:33,11/21/19 14:04,0,177.43.17.238,100,1814,1,11/21/19 14:04,R_1KdUzgAZxWjf9ue,27,20,12,9,14,15,14,89,K,51,6,19,14,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,1,1121,15,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,1,0,0,0,1,0,3,2,2,1,0.42857142857142855,0.4,0.4,0.3333333333333333,4,1,6,0,High School,female,Centro-Oeste
