cyear,year,country,ccode,abbrev,mideast,coldwar,opec_me,warsaw,civwar,us_s3un,cap,majpow,milper,def_eff,pop,rgdpc_k,rgdp,otherallies,polity2,us_indally,mid2,us_indexmilperpop1995,us_SH1995,us_indexreltradep1995,us_indexexchangerate1995,us_EH1995
201953,1953,Canada,20,CAN,0,1,0,0,0,0.5384615659713745,0.014220000244677067,0,104,0.0692160353064537,14940.66015625,9868.5498046875,147442.65625,13,10,1,1,0.35470014810562134,0.6773500442504883,0.4214628338813782,0.6666666865348816,0.8160973191261292
201954,1954,Canada,20,CAN,0,1,0,0,0,0.6129032373428345,0.01334100030362606,0,108,0.06293611973524094,15336.4404296875,9419.099609375,144455.453125,13,10,1,0,0.36122095584869385,0.6806104779243469,0.40401679277420044,0.6666666865348816,0.8030127882957458
201955,1955,Canada,20,CAN,0,1,0,0,0,0.6756756901741028,0.013189000077545643,0,112,0.05923939496278763,15732.2197265625,9955.169921875,156616.921875,14,10,1,0,0.38312655687332153,0.6915632486343384,0.41401758790016174,0.6666666865348816,0.810513436794281
201956,1956,Canada,20,CAN,0,1,0,0,0,0.9387755393981934,0.013740000315010548,0,116,0.05298290029168129,16127.990234375,10636.849609375,171551,14,10,1,0,0.3786228895187378,0.6893114447593689,0.431559294462204,0.6666666865348816,0.8236696720123291
201957,1957,Canada,20,CAN,0,1,0,0,0,0.8461538553237915,0.013214999809861183,0,121,0.05106966570019722,16622.720703125,10455.849609375,173804.671875,14,10,1,0,0.3747897744178772,0.6873948574066162,0.41983920335769653,0.6666666865348816,0.8148795962333679
201958,1958,Canada,20,CAN,0,1,0,0,0,0.8387096524238586,0.012608000077307224,0,119,0.04552072659134865,17018.5,10300.740234375,175303.140625,14,10,1,0,0.33676302433013916,0.6683815121650696,0.36229240894317627,0.6666666865348816,0.7717194557189941
201959,1959,Canada,20,CAN,0,1,0,0,0,0.5714285969734192,0.012839999981224537,0,120,0.041367433965206146,17513.220703125,10424.8896484375,182573.390625,14,10,1,0,0.29760074615478516,0.6488003730773926,0.3765604496002197,0.6666666865348816,0.7824205756187439
201960,1960,Canada,20,CAN,0,1,0,0,0,0.7407407164573669,0.01245800033211708,0,121,0.04087929427623749,17909,10383.51953125,185958.453125,14,10,1,0,0.27210649847984314,0.6360532641410828,0.327938437461853,0.6666666865348816,0.7459540367126465
201961,1961,Canada,20,CAN,0,1,0,0,0,0.849056601524353,0.012582000344991684,0,124,0.03934347629547119,18271,10383.009765625,189707.96875,14,10,1,0,0.26153457164764404,0.630767285823822,0.32237762212753296,0.6666666865348816,0.7417834401130676
201962,1962,Canada,20,CAN,0,1,0,0,0,0.8787878751754761,0.012644000351428986,0,124,0.03668329864740372,18614,10913.3203125,203140.546875,14,10,1,0,0.22927671670913696,0.6146383285522461,0.3343373239040375,1,1.0007532835006714
201963,1963,Canada,20,CAN,0,1,0,0,0,0.75,0.012463999912142754,0,120,0.031580183655023575,18964,11289.599609375,214095.96875,14,10,1,1,0.20619265735149384,0.6030963063240051,0.31911003589630127,1,0.9893327951431274
201964,1964,Canada,20,CAN,0,1,0,0,0,NA,0.012773999944329262,0,120,0.03071143850684166,19325,11854.6796875,229091.6875,14,10,1,0,0.19192782044410706,0.5959638953208923,0.3292422592639923,1,0.9969319105148315
201965,1965,Canada,20,CAN,0,1,0,0,0,0.7857142686843872,0.012764000333845615,0,120,0.026050036773085594,19678,12444.099609375,244874.984375,14,10,1,0,0.14673200249671936,0.5733659863471985,0.3676196038722992,1,1.0257149934768677
201966,1966,Canada,20,CAN,0,1,0,0,0,0.8703703880310059,0.01220100000500679,0,110,0.025238031521439552,20048,13015.41015625,260932.9375,14,10,1,0,0.09685951471328735,0.5484297275543213,0.4152928292751312,1,1.0614699125289917
201967,1967,Canada,20,CAN,0,1,0,0,0,0.800000011920929,0.012039000168442726,0,105,0.026519430801272392,20412,13036.3896484375,266098.78125,14,10,1,0,0.079235173761844635,0.5396175980567932,0.47370898723602295,1,1.1052820682525635
